Barcode,Nama,Date,Time
4324,,09-19-2023,03:05
1475,,09-19-2023,03:05
4591,,09-19-2023,03:05
4690,,09-19-2023,03:06
4525,,09-19-2023,03:06
4386,,09-19-2023,03:09
4792,,09-19-2023,03:10
1434,,09-19-2023,03:10
4595,,09-19-2023,03:12
4552,,09-19-2023,03:12
4924,,09-19-2023,03:12
1579,,09-19-2023,03:12
1576,,09-19-2023,03:13
4520,,09-19-2023,03:13
4492,,09-19-2023,03:13
4943,,09-19-2023,03:13
4382,,09-19-2023,03:23
4611,,09-19-2023,03:24
4827,,09-19-2023,03:24
4551,,09-19-2023,03:28
4661,,09-19-2023,03:31
4977,,09-19-2023,04:00
4408,,09-19-2023,04:00
4620,,09-19-2023,04:00
4335,,09-19-2023,04:01
5034,,09-19-2023,04:01
4983,,09-19-2023,04:01
4294,,09-19-2023,04:01
4910,,09-19-2023,04:01
4911,,09-19-2023,04:01
4856,,09-19-2023,04:01
4904,,09-19-2023,04:02
4905,,09-19-2023,04:02
1852,,09-19-2023,04:02
4419,,09-19-2023,04:02
4518,,09-19-2023,04:02
4684,,09-19-2023,04:03
4571,,09-19-2023,04:03
4845,,09-19-2023,04:03
4746,,09-19-2023,04:03
4301,,09-19-2023,04:03
4653,,09-19-2023,04:03
4446,,09-19-2023,04:03
4836,,09-19-2023,04:03
4303,,09-19-2023,04:03
3351,,09-19-2023,04:03
4867,,09-19-2023,04:03
1408,,09-19-2023,04:03
4766,,09-19-2023,04:04
3358,,09-19-2023,04:04
4637,,09-19-2023,04:04
4460,,09-19-2023,04:04
4477,,09-19-2023,04:04
1821,,09-19-2023,04:04
4256,,09-19-2023,04:04
4646,,09-19-2023,04:04
4655,,09-19-2023,04:04
4822,,09-19-2023,04:04
3989,,09-19-2023,04:05
4369,,09-19-2023,04:05
5016,,09-19-2023,04:05
4465,,09-19-2023,04:05
4759,,09-19-2023,04:06
4976,,09-19-2023,04:06
4584,,09-19-2023,04:06
4519,,09-19-2023,04:06
1205,,09-19-2023,04:07
4447,,09-19-2023,04:07
4796,,09-19-2023,04:07
4898,,09-19-2023,04:07
4773,,09-19-2023,04:08
3005,,09-19-2023,04:08
4196,,09-19-2023,04:08
5047,,09-19-2023,04:08
4292,,09-19-2023,04:08
4316,,09-19-2023,04:09
4554,,09-19-2023,04:09
1223,,09-19-2023,04:10
1479,,09-19-2023,04:10
5039,,09-19-2023,04:10
4364,,09-19-2023,04:11
1571,,09-19-2023,04:11
4659,,09-19-2023,04:11
1417,,09-19-2023,04:12
4891,,09-19-2023,04:13
4806,,09-19-2023,04:15
4991,,09-19-2023,04:16
4260,,09-19-2023,04:18
4481,,09-19-2023,04:20
4760,,09-19-2023,04:21
1512,,09-19-2023,04:22
4795,,09-19-2023,04:22
4597,,09-19-2023,04:23
3346,,09-19-2023,04:27
7018,,09-19-2023,04:28
4934,,09-19-2023,04:28
4813,,09-19-2023,04:52
4489,,09-19-2023,04:59
4906,,09-19-2023,05:00
3345,,09-19-2023,05:02
4530,,09-19-2023,05:04
3598,,09-19-2023,05:05
6004,,09-19-2023,05:06
3080,,09-19-2023,05:08
4348,,09-19-2023,05:08
4969,,09-19-2023,05:12
4444,,09-19-2023,05:32
4517,,09-19-2023,05:32
1350,,09-19-2023,05:34
1288,,09-19-2023,05:36
1431,,09-19-2023,05:41
1843,,09-19-2023,05:44
1770,,09-19-2023,05:45
1827,,09-19-2023,05:48
1849,,09-19-2023,06:01
1735,,09-19-2023,06:01
1593,,09-19-2023,06:02
1791,,09-19-2023,06:04
1555,,09-19-2023,06:05
1845,,09-19-2023,06:06
1411,,09-19-2023,06:07
4781,,09-19-2023,06:09
4490,,09-19-2023,06:19
4666,,09-19-2023,06:25
4580,,09-19-2023,07:04
4971,,09-19-2023,07:20
1701,,09-19-2023,07:33
1744,,09-19-2023,09:04
1071,,09-19-2023,09:04
1850,,09-19-2023,10:08
3842,,09-19-2023,10:30
4988,,09-19-2023,10:32
4789,,09-19-2023,10:33
1478,,09-19-2023,10:33
5032,,09-19-2023,10:44
4978,,09-19-2023,10:51
4709,,09-19-2023,11:00
4400,,09-19-2023,11:00
4937,,09-19-2023,11:00
4298,,09-19-2023,11:00
1339,,09-19-2023,11:00
1429,,09-19-2023,11:00
1448,,09-19-2023,11:00
4642,,09-19-2023,11:01
4521,,09-19-2023,11:01
1393,,09-19-2023,11:01
4783,,09-19-2023,11:01
4592,,09-19-2023,11:01
4496,,09-19-2023,11:02
4808,,09-19-2023,11:02
4722,,09-19-2023,11:02
4590,,09-19-2023,11:02
4545,,09-19-2023,11:02
4325,,09-19-2023,11:02
4787,,09-19-2023,11:02
1316,,09-19-2023,11:02
1405,,09-19-2023,11:02
4740,,09-19-2023,11:02
4874,,09-19-2023,11:02
4716,,09-19-2023,11:03
4738,,09-19-2023,11:03
4262,,09-19-2023,11:03
4461,,09-19-2023,11:03
4363,,09-19-2023,11:03
1352,,09-19-2023,11:03
1504,,09-19-2023,11:03
4534,,09-19-2023,11:03
1314,,09-19-2023,11:03
1839,,09-19-2023,11:03
1588,,09-19-2023,11:03
4411,,09-19-2023,11:04
4657,,09-19-2023,11:04
4717,,09-19-2023,11:04
4823,,09-19-2023,11:04
1370,,09-19-2023,11:04
4782,,09-19-2023,11:04
4925,,09-19-2023,11:05
1715,,09-19-2023,11:05
4493,,09-19-2023,11:06
4457,,09-19-2023,11:06
4437,,09-19-2023,11:07
4780,,09-19-2023,11:08
4720,,09-19-2023,11:15
4593,,09-19-2023,11:15
4959,,09-19-2023,11:15
4975,,09-19-2023,11:17
4388,,09-19-2023,11:17
4909,,09-19-2023,11:20
4815,,09-19-2023,11:23
5026,,09-20-2023,05:26
1849,,09-20-2023,05:39
4309,,09-20-2023,05:47
1295,,09-20-2023,05:48
4384,,09-20-2023,05:58
1827,,09-20-2023,06:10
4979,,09-20-2023,06:11
1837,,09-20-2023,06:15
4756,,09-20-2023,06:17
1374,,09-20-2023,06:17
4386,,09-20-2023,06:19
1347,,09-20-2023,06:20
4449,,09-20-2023,06:22
1848,,09-20-2023,06:22
1702,,09-20-2023,06:22
1843,,09-20-2023,06:22
1288,,09-20-2023,06:22
4196,,09-20-2023,06:23
1799,,09-20-2023,06:23
1770,,09-20-2023,06:24
1842,,09-20-2023,06:25
4633,,09-20-2023,06:26
1431,,09-20-2023,06:27
5020,,09-20-2023,06:27
4725,,09-20-2023,06:28
1350,,09-20-2023,06:30
4760,,09-20-2023,06:34
1277,,09-20-2023,06:37
4924,,09-20-2023,06:38
4616,,09-20-2023,06:40
4450,,09-20-2023,06:41
1409,,09-20-2023,06:42
4454,,09-20-2023,06:43
3358,,09-20-2023,06:43
4690,,09-20-2023,06:44
4910,,09-20-2023,06:45
4891,,09-20-2023,06:47
4451,,09-20-2023,06:49
4972,,09-20-2023,06:50
4427,,09-20-2023,06:52
3598,,09-20-2023,06:55
1318,,09-20-2023,06:58
4608,,09-20-2023,06:59
4988,,09-20-2023,07:02
4490,,09-20-2023,07:04
4685,,09-20-2023,07:04
1850,,09-20-2023,07:04
4692,,09-20-2023,07:05
4820,,09-20-2023,07:05
1415,,09-20-2023,07:05
1424,,09-20-2023,07:05
4430,,09-20-2023,07:05
4946,,09-20-2023,07:06
4682,,09-20-2023,07:06
4781,,09-20-2023,07:06
5029,,09-20-2023,07:06
1838,,09-20-2023,07:06
4502,,09-20-2023,07:07
1479,,09-20-2023,07:07
4341,,09-20-2023,07:07
